,Region Display,Region ID,Region Name,communitydistrict_index,med_r_1f_18,med_r_4f_18,med_r_cn_18,med_r_ot_18,rent_asking_med_18,crime_all_rt_19,shd_ph_props_20,2010 Population_PRELOCKDOWN,PAPERTONSCOLLECTED_PERCAPITA_PRELOCKDOWN,MGPTONSCOLLECTED_PERCAPITA_PRELOCKDOWN,REFUSETONSCOLLECTED_PERCAPITA_PRELOCKDOWN,2010 Population_POSTLOCKDOWN,PAPERTONSCOLLECTED_PERCAPITA_POSTLOCKDOWN,MGPTONSCOLLECTED_PERCAPITA_POSTLOCKDOWN,REFUSETONSCOLLECTED_PERCAPITA_POSTLOCKDOWN,yearly_ind_benefi_per_1000_2019,yearly_household_benefi_per_1000_2019,yearly_ind_benefi_per_1000_2020,yearly_household_benefi_per_1000_2020
37,,314,,3__14,1242750.0,499500.0,624340.0,229270.0,2000.0,7.2,0.0,160664,0.07835607229995516,0.061264502315391135,0.7620201165164567,160664,0.025355400089628045,0.02485933376487576,0.2573806204252353,719.0783249514516,425.68341383259474,564.3018971269232,338.7193148433999
38,,315,,3__15,763000.0,440000.0,511670.0,285710.0,1800.0,6.7,4.0,159650,0.09501033510804884,0.07906482931412465,0.7167892264328218,159650,0.02970685875352333,0.02950454118383965,0.2477601002192296,663.6266833698718,415.7720012527404,516.9182586908863,325.04227998747257
39,,316,,3__16,436450.0,332500.0,457500.0,166670.0,2200.0,16.5,48.0,86468,0.03332562335199149,0.04707984456677616,0.6353009205717722,86468,0.01229934773557848,0.020014340565295833,0.2310056899662303,1644.296155803303,923.9834389600777,1321.49465698293,752.6252486468982
40,,317,,3__17,535000.0,287500.0,441090.0,200000.0,2050.0,9.8,4.0,155252,0.05197163321567516,0.07235397933682013,0.727436039471311,155252,0.018325689846185555,0.02781284621132095,0.2567741478370649,734.3866745677992,469.2628758405688,593.8280988328652,382.9258238219153
41,,318,,3__18,613000.0,312500.0,355000.0,260000.0,2000.0,7.6,7.0,193543,0.07549175118707471,0.07984168892700845,0.7319820401667847,193543,0.025650113928171004,0.03174023343649732,0.2597758637615413,554.3935972884578,334.8041520488987,455.97102452684936,276.6155324656536
42,QN 01,401,Astoria,4__01,850000.0,525000.0,572500.0,304880.0,2200.0,8.3,12.0,191105,0.08239868135318278,0.0835179613301588,0.5315088563878497,191105,0.028403757096883912,0.03201695403050678,0.18714424007744432,443.88686847544545,267.2352895005364,362.9366055309909,219.57562596478365
43,QN 02,402,Woodside/Sunnyside,4__02,740000.0,494580.0,814800.0,286960.0,2400.0,8.5,0.0,113200,0.098339222614841,0.08913427561837456,0.6763303886925794,113200,0.032494699646643116,0.034110424028268554,0.2378074204946996,358.92226148409895,226.7137809187279,287.19081272084804,181.29858657243813
44,QN 03,403,Jackson Heights,4__03,712500.0,425000.0,479000.0,274400.0,1850.0,7.9,0.0,171576,0.05662446962279107,0.07087063458758802,0.7339657061593696,171576,0.019789481046300184,0.02951928008579288,0.2598924091947592,520.0785657667739,300.8754138107894,412.1264046253555,238.26176155173215
45,QN 04,404,Elmhurst/Corona,4__04,792000.0,436670.0,459000.0,230000.0,1900.0,7.4,0.0,172598,0.050687725234359625,0.061383677678768025,0.5974090082156225,172598,0.017593483122631783,0.026449900925850818,0.20683669567434151,548.4536321394221,320.9944495301221,436.34920450990165,254.7596148275183
46,QN 05,405,Ridgewood/Maspeth,4__05,706500.0,416670.0,467500.0,236670.0,2480.0,7.5,0.0,169190,0.09572906200130032,0.10879839233997282,0.7169779537797742,169190,0.03051480583958863,0.04476919439683196,0.2596311838761157,397.1747739228087,234.03865476683015,329.1151959335658,193.82351202789764
